step,box_grad_norm,dfl_grad_norm,dfl_box_norm_ratio,grad_cosine,fg_num,loss_box,loss_dfl
1400,1.28071439e-02,3.34710022e-03,2.61346340e-01,4.24012125e-01,7351,1.32117403e+00,1.22099161e+00
1410,1.24049904e-02,3.35449330e-03,2.70414829e-01,4.31642950e-01,7679,1.38405633e+00,1.25155747e+00
1420,1.61994360e-02,3.94125562e-03,2.43295848e-01,4.19941992e-01,5761,1.50609887e+00,1.25609541e+00
1430,1.32167460e-02,3.16090370e-03,2.39158988e-01,4.44631726e-01,9076,1.57335496e+00,1.23621047e+00
1440,1.26776071e-02,3.64912557e-03,2.87840247e-01,4.16395992e-01,6048,1.24977410e+00,1.27061653e+00
1450,1.21687632e-02,3.45227146e-03,2.83699453e-01,4.29946840e-01,6734,1.31087577e+00,1.24778843e+00
1460,1.29736494e-02,3.45128006e-03,2.66022295e-01,4.40725565e-01,6118,1.25118577e+00,1.21254134e+00
1470,1.34332161e-02,3.12892813e-03,2.32924715e-01,4.25331473e-01,8962,1.49975026e+00,1.23975337e+00
1480,1.23738516e-02,3.28246783e-03,2.65274554e-01,4.43048298e-01,7681,1.35515463e+00,1.22315657e+00
1490,1.20201884e-02,3.59544181e-03,2.99116939e-01,4.33960021e-01,6643,1.37440896e+00,1.30369127e+00
1500,1.29846977e-02,3.40980827e-03,2.62602061e-01,4.10509884e-01,8280,1.52747667e+00,1.30423927e+00
1510,1.33738853e-02,3.44050536e-03,2.57255495e-01,4.36670244e-01,6808,1.38532698e+00,1.24145615e+00
1520,1.48851983e-02,3.85203888e-03,2.58783162e-01,4.29721475e-01,5752,1.41506755e+00,1.26070154e+00
1530,1.29058650e-02,3.89347784e-03,3.01682830e-01,4.14020956e-01,6066,1.39409995e+00,1.32528591e+00
1540,1.46667138e-02,3.35725094e-03,2.28902742e-01,4.19629484e-01,7024,1.39219272e+00,1.20812976e+00
1550,1.29855722e-02,3.59783811e-03,2.77064264e-01,4.32044297e-01,7758,1.59837186e+00,1.33397365e+00
1560,1.21206762e-02,3.27629293e-03,2.70306110e-01,4.37121809e-01,8164,1.46674252e+00,1.27323484e+00
1570,1.25270691e-02,3.97603167e-03,3.17395210e-01,4.48836446e-01,5647,1.37282991e+00,1.30520844e+00
1580,1.30909057e-02,3.84373567e-03,2.93618768e-01,4.28851604e-01,5513,1.30053794e+00,1.26461887e+00
1590,1.26042021e-02,3.61632393e-03,2.86914140e-01,4.35473084e-01,6802,1.39421046e+00,1.27659643e+00
1600,1.23545043e-02,3.37258051e-03,2.72983879e-01,4.18484837e-01,8092,1.44336963e+00,1.29823756e+00
1610,1.44897411e-02,3.82892857e-03,2.64250994e-01,4.19979632e-01,5912,1.39065695e+00,1.28798068e+00
1620,1.08914357e-02,3.11824377e-03,2.86302358e-01,4.56145823e-01,9517,1.48023105e+00,1.25884438e+00
1630,1.40705798e-02,4.14732285e-03,2.94751376e-01,4.36938047e-01,5533,1.39443600e+00,1.32235718e+00
1640,1.37272812e-02,3.50722321e-03,2.55492926e-01,4.17448014e-01,6323,1.33314693e+00,1.23403466e+00
1650,1.55661143e-02,4.27158922e-03,2.74415910e-01,4.32287335e-01,4296,1.29545724e+00,1.25765610e+00
1660,1.61980260e-02,3.81908263e-03,2.35774577e-01,3.95738155e-01,5496,1.32902145e+00,1.22660649e+00
1670,1.47470096e-02,3.69230960e-03,2.50376850e-01,4.13532078e-01,5873,1.38199937e+00,1.26017320e+00
1680,1.42149013e-02,3.17178806e-03,2.23131210e-01,4.05130208e-01,8137,1.41590464e+00,1.23168659e+00
1690,1.19977016e-02,3.29638715e-03,2.74751544e-01,4.42851782e-01,7917,1.38504708e+00,1.24340034e+00
1700,1.17662540e-02,3.38068558e-03,2.87320465e-01,4.30348068e-01,7744,1.35901868e+00,1.30266571e+00
1710,1.26095992e-02,3.89947905e-03,3.09246868e-01,4.64238405e-01,6153,1.47074199e+00,1.30365264e+00
1720,1.33851729e-02,3.66924005e-03,2.74127215e-01,4.24041390e-01,6697,1.44477832e+00,1.28626680e+00
1730,1.20257623e-02,3.32064903e-03,2.76127934e-01,4.46713001e-01,7624,1.43855977e+00,1.24941564e+00
1740,1.43136773e-02,3.30906361e-03,2.31181934e-01,4.22795415e-01,7744,1.48340642e+00,1.25232553e+00
1750,1.35292690e-02,3.52655514e-03,2.60661185e-01,4.17697936e-01,7256,1.46393418e+00,1.27078676e+00
1760,1.21301347e-02,3.48918792e-03,2.87646264e-01,4.36437011e-01,6874,1.36118722e+00,1.26282215e+00
1770,1.30020157e-02,3.71855288e-03,2.85998195e-01,4.42225397e-01,6671,1.41593099e+00,1.29963315e+00
1780,1.23638697e-02,3.38284811e-03,2.73607552e-01,4.45037872e-01,6912,1.31241083e+00,1.20600712e+00
1790,1.34877795e-02,3.61530087e-03,2.68042713e-01,4.42517817e-01,6268,1.39668870e+00,1.25071847e+00
1800,1.32323904e-02,4.01103683e-03,3.03122610e-01,4.27834928e-01,5685,1.38136935e+00,1.29682922e+00
1810,1.30815888e-02,3.61830997e-03,2.76595592e-01,4.31322038e-01,6168,1.31730926e+00,1.25648963e+00
1820,1.38075054e-02,3.42203374e-03,2.47838661e-01,4.08832192e-01,7915,1.49592042e+00,1.29531896e+00
1830,1.19300615e-02,3.84418922e-03,3.22227120e-01,4.51022804e-01,6523,1.46750331e+00,1.32953262e+00
1840,1.45786507e-02,3.78248771e-03,2.59453893e-01,4.36464071e-01,5705,1.37306273e+00,1.24930823e+00
1850,1.37797724e-02,3.39441514e-03,2.46333182e-01,4.35929477e-01,6382,1.28439724e+00,1.19049072e+00
1860,1.40710119e-02,4.00993694e-03,2.84978569e-01,4.37001556e-01,5254,1.39117718e+00,1.27969980e+00
1870,1.37994587e-02,3.40120867e-03,2.46474057e-01,4.26553965e-01,7375,1.43769419e+00,1.24025869e+00
1880,1.29435845e-02,3.52824433e-03,2.72586346e-01,4.27001536e-01,6671,1.32199800e+00,1.26750624e+00
1890,1.16106002e-02,3.66216525e-03,3.15415680e-01,4.60254312e-01,6915,1.41304898e+00,1.29506743e+00
1900,1.37626715e-02,3.35819484e-03,2.44007483e-01,4.34905022e-01,6954,1.35003984e+00,1.21588707e+00
1910,1.34297432e-02,3.33346450e-03,2.48215064e-01,4.47855234e-01,7412,1.43334877e+00,1.25358975e+00
1920,1.53497159e-02,4.11075726e-03,2.67806739e-01,4.08506185e-01,4675,1.24397683e+00,1.26275015e+00
1930,1.25475973e-02,3.52646341e-03,2.81046897e-01,4.48611170e-01,6792,1.39141393e+00,1.26440001e+00
1940,1.36174113e-02,3.77502642e-03,2.77220577e-01,4.05101210e-01,6523,1.41228831e+00,1.31574547e+00
1950,1.22215720e-02,3.20511870e-03,2.62250930e-01,4.43198800e-01,8308,1.44439602e+00,1.26266193e+00
1960,1.26015060e-02,4.15859604e-03,3.30007851e-01,4.22384411e-01,5824,1.43437839e+00,1.38556254e+00
1970,1.25505012e-02,3.42320255e-03,2.72754252e-01,4.24765825e-01,8108,1.44668841e+00,1.28873968e+00
1980,1.10159880e-02,3.37177562e-03,3.06080192e-01,4.52031642e-01,8322,1.40363121e+00,1.31367731e+00
1990,1.26292100e-02,3.31674074e-03,2.62624562e-01,4.46218729e-01,8223,1.55014610e+00,1.26274300e+00
2000,1.24492934e-02,3.34286597e-03,2.68518537e-01,4.47714746e-01,6943,1.34534204e+00,1.21864784e+00
2010,1.29042603e-02,3.48572200e-03,2.70121813e-01,4.19006526e-01,7033,1.35134447e+00,1.25922441e+00
2020,1.35066370e-02,3.69434501e-03,2.73520708e-01,4.25799817e-01,5840,1.31894219e+00,1.24246097e+00
